match_id,game_duration,blue_top_champion,blue_jungle_champion,blue_mid_champion,blue_adc_champion,blue_support_champion,blue_num_tanks,blue_num_fighters,blue_num_mages,blue_num_marksmans,blue_num_controllers,red_top_champion,red_jungle_champion,red_mid_champion,red_adc_champion,red_support_champion,red_num_tanks,red_num_fighters,red_num_mages,red_num_marksmans,red_num_controllers,gold_diff_5,xp_diff_5,cs_diff_5,kills_diff_5,dragon_diff_5,herald_diff_5,tower_diff_5,wards_placed_diff_5,wards_killed_diff_5,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,dragon_diff_10,herald_diff_10,tower_diff_10,wards_placed_diff_10,wards_killed_diff_10,gold_diff_15,xp_diff_15,cs_diff_15,kills_diff_15,dragon_diff_15,herald_diff_15,tower_diff_15,wards_placed_diff_15,wards_killed_diff_15,gold_lead_gt_1500_10,kill_lead_gt_3_10,tower_lead_gt_1_10,double_objective_10,wards_lead_gt_5_10,first_blood_blue,first_tower_blue,first_dragon_blue,first_herald_blue,first_tower_time,first_dragon_time,first_herald_time,first_blood_time,blue_wins,processed_at
LA1_1712258306,32.733333333333334,TahmKench,Kayn,Katarina,MissFortune,Seraphine,1,1,1,1,1,Darius,Warwick,Ahri,Aphelios,Janna,0,2,1,1,1,-1611,-145,-6,-3,0,0,0,-7,-1,-3427,-559,-27,-6,0,0,0,-114,-2,-7070,-4217,-83,-8,-1,0,-2,-223,-6,0,0,0,0,0,0,0,0,0,808.699,548.507,1185.012,86.06,0,
LA1_1712258491,34.11666666666667,Volibear,Sion,Illaoi,Jinx,Morgana,1,2,0,1,1,Gwen,Warwick,Cassiopeia,Ezreal,Pyke,0,2,1,1,1,-993,-297,12,-4,0,0,0,-39,-6,447,900,15,-1,-1,0,0,-151,-17,-1343,-1889,7,-4,-2,0,0,-212,-27,0,0,0,0,0,0,1,0,1,961.358,357.716,962.627,51.776,1,
LA1_1712262290,37.733333333333334,Kayn,Belveth,Veigar,Lucian,Brand,0,2,2,1,0,Yorick,Darius,TwistedFate,Jhin,Lux,0,2,2,1,0,-492,-743,-25,0,0,0,0,-23,0,-1965,-1804,-50,-3,-1,0,0,-80,0,-1469,-831,-18,-5,0,0,0,-100,-3,0,0,0,0,0,0,0,0,0,907.459,373.924,952.726,115.72,0,
LA1_1712262401,41.1,Yone,Briar,Anivia,Kaisa,Ekko,0,3,1,1,0,Fiora,Jax,Galio,Senna,Blitzcrank,2,2,0,1,0,-241,-134,-14,0,0,0,0,0,0,776,202,31,-1,-1,0,0,3,0,2742,3066,62,0,-1,0,2,4,0,0,0,0,0,0,0,1,0,1,772.994,529.014,1054.347,93.719,0,
LA1_1712262897,34.93333333333333,Vladimir,JarvanIV,Chogath,Xayah,Lux,2,0,2,1,0,Fiora,Udyr,Fizz,Tristana,Nami,0,3,0,1,1,327,81,-11,1,0,0,0,-1,0,2630,2617,8,7,0,0,0,-1,4,2494,1313,-11,9,1,0,1,-4,7,1,1,0,0,0,0,1,1,1,763.342,585.778,1029.862,41.697,1,
LA1_1712263800,24.983333333333334,Chogath,Viego,Zed,Jhin,TahmKench,2,2,0,1,0,Garen,Briar,Lux,Vayne,Pantheon,0,3,1,1,0,886,762,-3,3,0,0,0,-2,0,2857,3492,30,6,1,0,0,-3,-1,7223,8500,84,13,1,0,1,-2,2,1,1,0,0,0,0,1,1,1,776.623,484.479,1014.054,40.484,1,
LA1_1712264009,31.883333333333333,Darius,MasterYi,Katarina,Smolder,Senna,0,2,1,2,0,Aatrox,Ekko,Zed,Kaisa,Nautilus,1,3,0,1,0,455,-223,-8,2,0,0,0,-1,0,-879,-1281,-34,1,-1,0,0,-6,1,-1829,-4665,-75,0,-2,0,1,-14,4,0,0,0,0,0,0,1,0,0,834.48,363.32,1018.535,47.262,0,
LA1_1712264515,29.683333333333334,Gangplank,MasterYi,Ekko,Tristana,Maokai,1,3,0,1,0,Heimerdinger,Amumu,Yasuo,MissFortune,Nami,1,1,1,1,1,1651,327,-23,4,0,0,0,1,0,2442,638,-28,6,1,0,0,-2,1,4916,4878,0,11,1,0,0,-3,1,1,1,0,0,0,1,1,1,1,984.437,510.2,955.296,140.308,1,
LA1_1712264659,34.61666666666667,Mordekaiser,Ambessa,Akali,Smolder,Thresh,0,2,1,1,1,Sett,Jax,Syndra,Yunara,Lux,0,2,3,0,0,-378,-253,1,-1,0,0,0,-2,0,-1034,-1009,-11,-1,-1,0,0,-3,0,-1871,-1528,-34,-1,-2,0,0,-6,-5,0,0,0,0,0,0,0,0,1,915.378,439.124,1024.003,183.585,1,
LA1_1712265571,34.15,Heimerdinger,Shen,AurelionSol,Smolder,Brand,1,0,3,1,0,Akali,Kayn,Malzahar,Jhin,Velkoz,0,1,3,1,0,-1061,-436,-10,-2,0,0,0,14,0,-2811,-1307,-55,-4,0,0,0,22,0,-6224,-3311,-78,-9,-1,0,-1,37,-1,0,0,0,0,1,0,0,0,0,824.614,744.485,956.362,163.094,0,
